
=============================================================
   text	   data	    bss	    dec	    hex	filename
    104	      0	      0	    104	     68	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/strncpy.o
     16	      0	      0	     16	     10	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/strsep.o
   1268	      0	      0	   1268	    4f4	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/strstr.o
     16	      4	      0	     20	     14	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/strtok.o
    104	      0	      0	    104	     68	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/strtok_r.o
     52	      0	      0	     52	     34	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/stricmp.o
     28	      0	      0	     28	     1c	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/strupr.o
     88	      0	      0	     88	     58	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/stratoi.o
     36	      0	      0	     36	     24	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/strnlen.o
    308	      0	      0	    308	    134	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/strtol.o
    320	      0	      0	    320	    140	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/strtoul.o
    288	      0	      0	    288	    120	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/strtod.o
     44	      0	      0	     44	     2c	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/strpbrk.o
    260	      0	      0	    260	    104	/cygdrive/E/AmebaD/sdk/svn_new/project/realtek_amebaD_cm0_gcc_verification/asdk/../../../component/soc/realtek/amebad/swlib/string/char2num.o
   7870	     56	      0	   7926	   1ef6	(TOTALS)
=============================================================
   text	   data	    bss	    dec	    hex	filename
   4316	      0	      0	   4316	   10dc	RTL8721D_Ipsec_ROM.o
   2648	      0	      0	   2648	    a58	RTL8721D_GTK_ROM.o
   1076	      0	      0	   1076	    434	RTL8721D_Packet_ROM.o
   2004	      0	      0	   2004	    7d4	RTL8721D_PowerSave_ROM.o
    264	      0	      0	    264	    108	RTL8721D_WoWLAN_ROM.o
   3343	      1	      0	   3344	    d10	RTL8721D_BTConCurr_ROM.o
   2740	      3	      0	   2743	    ab7	RTL8721D_cmd_ROM.o
   2728	    163	      0	   2891	    b4b	RTL8721D_FWLBK_ROM.o
    276	      0	      0	    276	    114	RTL8721D_INT_ROM.o
    500	     16	      0	    516	    204	RTL8721D_PhyCfg_ROM.o
   2592	      0	      0	   2592	    a20	RTL8721D_RateAdaptive_ROM.o
    308	      0	      0	    308	    134	RTL8721D_TxReport_ROM.o
    348	      0	      0	    348	    15c	RTL8721D_DMA_ROM.o
    220	    841	      0	   1061	    425	RTL8721D_Init_ROM.o
    408	      0	      0	    408	    198	RTL8721D_Util_ROM.o
  23771	   1024	      0	  24795	   60db	(TOTALS)
